,ID,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
777,4951,1,0,1,0,1,0,1,0,1,0,1,0
779,4956,1,0,1,0,1,0,1,0,1,0,1,0
783,4994,0,0,0,1,0,0,0,1,0,0,0,1
784,4995,0,0,0,1,0,0,0,1,0,0,0,1
785,5002,1,0,1,0,1,0,1,0,1,0,1,0
787,5008,1,0,1,0,1,0,1,0,1,0,1,0
788,5016,1,0,1,0,1,0,1,0,1,0,1,0
791,5032,1,0,1,0,1,0,1,0,1,0,1,0
792,5040,1,0,1,0,1,0,1,0,1,0,1,0
795,5062,0,0,0,1,0,0,0,1,0,0,0,1
799,5086,0,0,1,0,0,1,0,0,1,0,0,1
800,5094,1,0,1,0,1,0,1,0,1,0,1,0
801,5100,1,0,1,0,1,0,1,0,1,0,1,0
806,5134,1,0,0,0,1,0,0,0,1,0,0,0
811,5145,0,0,1,0,0,1,0,0,1,0,0,1
812,5147,1,0,1,0,1,0,1,0,1,0,1,0
815,5182,0,0,1,0,0,1,0,0,1,0,0,1
818,5220,1,0,1,0,1,0,1,0,1,0,1,0
820,5232,0,0,1,0,0,0,1,0,0,0,1,0
821,5239,0,0,1,0,0,0,1,0,0,0,1,0
822,5255,0,0,0,1,0,0,0,1,0,0,0,1
827,5281,0,0,0,1,0,0,0,1,0,0,0,1
828,5296,1,0,1,0,1,0,1,0,1,0,1,0
829,5301,0,0,0,0,1,0,0,0,1,0,0,0
830,5306,1,0,1,0,1,0,1,0,1,0,1,0
831,5312,0,0,0,1,0,0,0,1,0,0,0,1
834,5324,1,0,0,0,1,0,0,0,1,0,0,0
835,5328,1,0,1,0,1,0,1,0,1,0,1,0
840,5372,0,0,1,0,0,1,0,0,1,0,0,1
842,5378,1,0,0,1,0,0,1,0,0,1,0,0
843,5379,1,0,1,0,1,0,1,0,1,0,1,0
848,5437,1,0,0,0,1,0,0,0,1,0,0,0
852,5463,1,0,1,0,1,0,1,0,1,0,1,0
855,5471,1,0,1,0,1,0,1,0,1,0,1,0
857,5489,1,0,0,0,1,0,0,0,1,0,0,0
858,5519,0,0,0,0,1,0,0,0,1,0,0,0
863,5562,1,0,1,0,1,0,1,0,1,0,1,0
865,5591,0,1,0,0,0,1,0,0,0,1,0,0
867,5595,1,0,1,0,1,0,1,0,1,0,1,0
869,5604,0,0,1,0,0,1,0,0,1,0,0,1
870,5607,1,0,0,0,1,0,0,0,1,0,0,0
873,5612,1,0,1,0,1,0,1,0,1,0,1,0
874,5622,0,0,0,1,0,0,0,1,0,0,0,1
881,5666,1,0,1,0,1,0,1,0,1,0,1,0
882,5669,0,0,0,0,1,0,0,0,1,0,0,0
883,5683,0,0,1,0,0,1,0,0,1,0,0,1
884,5706,0,0,0,1,0,0,0,1,0,0,0,1
886,5708,0,0,0,1,0,0,0,1,0,0,0,1
890,5734,1,0,1,0,1,0,1,0,1,0,1,0
891,5735,1,0,1,0,1,0,1,0,1,0,1,0
892,5753,1,0,1,0,1,0,1,0,1,0,1,0
895,5765,1,0,1,0,1,0,1,0,1,0,1,0
897,5777,0,0,0,0,1,0,0,0,1,0,0,0
901,5794,0,0,1,0,0,0,1,0,0,0,1,0
902,5802,0,0,0,0,1,0,0,0,1,0,0,0
906,5826,1,0,1,0,1,0,1,0,1,0,1,0
909,5839,1,0,0,1,0,0,1,0,0,1,0,0
910,5840,0,0,1,0,0,0,1,0,0,0,1,0
913,5865,1,0,1,0,1,0,1,0,1,0,1,0
914,5868,1,0,1,0,1,0,1,0,1,0,1,0
915,5877,1,0,1,0,1,0,1,0,1,0,1,0
919,5906,0,0,1,0,0,0,1,0,0,0,1,0
922,5926,0,1,0,0,0,1,0,0,0,1,0,0
923,5933,1,0,1,0,1,0,1,0,1,0,1,0
925,5942,0,0,1,0,0,1,0,0,1,0,0,1
928,5950,0,0,0,0,1,0,0,0,1,0,0,0
929,5953,1,0,1,0,1,0,1,0,1,0,1,0
931,5977,0,1,0,0,1,0,0,1,0,0,1,0
933,5984,0,0,0,1,0,0,0,1,0,0,0,1
935,6000,1,0,1,0,1,0,1,0,1,0,1,0
940,6058,0,1,0,0,1,0,0,1,0,0,1,0
942,6069,1,0,1,0,1,0,1,0,1,0,1,0
947,6091,1,0,1,0,1,0,1,0,1,0,1,0
951,6120,0,1,0,0,0,1,0,0,0,1,0,0
953,6133,1,0,1,0,1,0,1,0,1,0,1,0
955,6153,1,0,1,0,1,0,1,0,1,0,1,0
959,6179,1,0,1,0,1,0,1,0,1,0,1,0
961,6191,1,0,1,0,1,0,1,0,1,0,1,0
964,6210,1,0,1,0,1,0,1,0,1,0,1,0
967,6231,1,0,1,0,1,0,1,0,1,0,1,0
968,6233,0,0,1,0,0,0,1,0,0,0,1,0
969,6235,1,0,1,0,1,0,1,0,1,0,1,0
970,6236,1,0,1,0,1,0,1,0,1,0,1,0
971,6238,1,0,0,0,1,0,0,0,1,0,0,0
973,6248,1,0,1,0,1,0,1,0,1,0,1,0
974,6250,1,0,1,0,1,0,1,0,1,0,1,0
975,6252,0,0,1,0,0,0,1,0,0,0,1,0
